"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"Pdlim7"	1.79910280021477e-31	-0.528825788045195	0.534	0.5	3.59820560042953e-28	"0"	"Pdlim7"
"Mrpl42"	5.76905666127298e-31	-0.772121547992732	0.695	0.636	1.1538113322546e-27	"0"	"Mrpl42"
"Gngt2"	4.11819686123325e-30	-0.75646148239517	0.64	0.605	8.23639372246649e-27	"0"	"Gngt2"
"Mdh2"	1.21806180606586e-29	-0.575672015787654	0.813	0.73	2.43612361213171e-26	"0"	"Mdh2"
"Pdlim3"	2.48048293812731e-29	-0.677779730243877	0.654	0.406	4.96096587625462e-26	"0"	"Pdlim3"
"Sdhb"	9.37159434288968e-29	-0.604776773176351	0.791	0.715	1.87431886857794e-25	"0"	"Sdhb"
"Stmn2"	9.81024023337708e-29	-0.582144779867144	0.627	0.454	1.96204804667541e-25	"0"	"Stmn2"
"Coq10a"	7.20678690444642e-28	-0.728014006719442	0.471	0.423	1.44135738088928e-24	"0"	"Coq10a"
"Vamp5"	1.70678622511303e-27	-0.595653360038335	0.577	0.529	3.41357245022605e-24	"0"	"Vamp5"
"Gimap6"	2.34402829269898e-27	-0.971018753903176	0.651	0.675	4.68805658539797e-24	"0"	"Gimap6"
"Tie1"	6.1107351003563e-27	-0.598202528675949	0.679	0.54	1.22214702007126e-23	"0"	"Tie1"
"Cdh13"	7.64449981003793e-27	-0.542693061299795	0.691	0.451	1.52889996200758e-23	"0"	"Cdh13"
"Ndufab1"	2.45544077341387e-26	-0.591051752135071	0.739	0.673	4.91088154682775e-23	"0"	"Ndufab1"
"Hspb6"	1.15030589285416e-25	-1.40933351632223	0.596	0.504	2.30061178570833e-22	"0"	"Hspb6"
"Ugp2"	3.13856629302043e-25	-0.649122408087597	0.688	0.611	6.27713258604085e-22	"0"	"Ugp2"
"Sdpr"	1.48104834007345e-24	-1.73217193642188	0.677	0.683	2.9620966801469e-21	"0"	"Sdpr"
"Tspan13"	6.46074716927011e-24	-1.71874868502983	0.726	0.735	1.29214943385402e-20	"0"	"Tspan13"
"S1pr1"	4.13308736770234e-23	-0.768053650038164	0.708	0.53	8.26617473540467e-20	"0"	"S1pr1"
"Cryab"	1.68185097050634e-22	-0.990187239033958	0.761	0.648	3.36370194101269e-19	"0"	"Cryab"
"Srgn"	2.61314570084024e-22	-1.23098128532238	0.67	0.653	5.22629140168048e-19	"0"	"Srgn"
"Car4"	4.30455328806537e-22	-0.753910324787902	0.634	0.476	8.60910657613074e-19	"0"	"Car4"
"Asb2"	9.83048224812895e-22	-0.747916222259977	0.611	0.363	1.96609644962579e-18	"0"	"Asb2"
"Itga6"	1.82501413301527e-21	-0.583255437884948	0.706	0.546	3.65002826603053e-18	"0"	"Itga6"
"Pim3"	3.5721953535668e-21	-0.605604133204497	0.605	0.583	7.14439070713359e-18	"0"	"Pim3"
"Eno3"	4.2475363717211e-21	-2.15489794807163	0.724	0.609	8.49507274344221e-18	"0"	"Eno3"
"Tcap"	4.4392819058149e-21	-1.99622911111427	0.788	0.641	8.87856381162979e-18	"0"	"Tcap"
"Aldoa"	6.15773695663774e-21	-1.70192651238948	0.977	0.947	1.23154739132755e-17	"0"	"Aldoa"
"Cd36"	3.69160792333107e-20	-1.80484193857186	0.736	0.751	7.38321584666214e-17	"0"	"Cd36"
"Klf2"	4.61969618814368e-19	-0.570798373394613	0.855	0.866	9.23939237628737e-16	"0"	"Klf2"
"Idh3a"	5.98420276762002e-19	-0.562683136621652	0.511	0.448	1.196840553524e-15	"0"	"Idh3a"
"Cyc1"	1.31937293850244e-18	-0.607011285358341	0.736	0.64	2.63874587700489e-15	"0"	"Cyc1"
